Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
0,A*,EvenOdd Numbers Heuristic,19,474592
1,A*,EvenOdd Numbers Heuristic,10,7176
2,A*,EvenOdd Numbers Heuristic,11,7176
3,A*,EvenOdd Numbers Heuristic,8,7176
4,A*,EvenOdd Numbers Heuristic,9,7176
5,A*,EvenOdd Numbers Heuristic,12,7176
6,A*,EvenOdd Numbers Heuristic,8,7256
7,A*,EvenOdd Numbers Heuristic,9,7176
8,A*,EvenOdd Numbers Heuristic,10,7176
9,A*,EvenOdd Numbers Heuristic,13,7176
10,A*,EvenOdd Numbers Heuristic,11,7176
11,A*,EvenOdd Numbers Heuristic,21,7176
12,A*,EvenOdd Numbers Heuristic,27,7176
13,A*,EvenOdd Numbers Heuristic,16,7176
14,A*,EvenOdd Numbers Heuristic,11,7176
15,A*,EvenOdd Numbers Heuristic,6,7176
16,A*,EvenOdd Numbers Heuristic,8,7176
17,A*,EvenOdd Numbers Heuristic,6,7176
18,A*,EvenOdd Numbers Heuristic,9,7176
19,A*,EvenOdd Numbers Heuristic,7,7176
20,A*,EvenOdd Numbers Heuristic,7,7176
21,A*,EvenOdd Numbers Heuristic,6,7176
22,A*,EvenOdd Numbers Heuristic,9,7176
23,A*,EvenOdd Numbers Heuristic,11,7176
24,A*,EvenOdd Numbers Heuristic,9,7176
25,A*,EvenOdd Numbers Heuristic,8,7176
26,A*,EvenOdd Numbers Heuristic,7,7176
27,A*,EvenOdd Numbers Heuristic,10,7176
28,A*,EvenOdd Numbers Heuristic,10,7176
29,A*,EvenOdd Numbers Heuristic,12,7176
30,A*,EvenOdd Numbers Heuristic,9,7176
31,A*,EvenOdd Numbers Heuristic,11,7176
32,A*,EvenOdd Numbers Heuristic,12,7176
33,A*,EvenOdd Numbers Heuristic,9,7176
34,A*,EvenOdd Numbers Heuristic,12,7560
35,A*,EvenOdd Numbers Heuristic,7,7176
36,A*,EvenOdd Numbers Heuristic,7,7176
37,A*,EvenOdd Numbers Heuristic,6,7176
38,A*,EvenOdd Numbers Heuristic,7,7176
39,A*,EvenOdd Numbers Heuristic,7,7176
40,A*,EvenOdd Numbers Heuristic,6,7176
41,A*,EvenOdd Numbers Heuristic,6,7176
42,A*,EvenOdd Numbers Heuristic,6,7176
43,A*,EvenOdd Numbers Heuristic,7,7176
44,A*,EvenOdd Numbers Heuristic,7,7176
45,A*,EvenOdd Numbers Heuristic,7,7176
46,A*,EvenOdd Numbers Heuristic,6,7176
47,A*,EvenOdd Numbers Heuristic,7,7176
48,A*,EvenOdd Numbers Heuristic,8,7176
49,A*,EvenOdd Numbers Heuristic,8,7176
50,A*,EvenOdd Numbers Heuristic,8,7176
51,A*,EvenOdd Numbers Heuristic,7,7176
52,A*,EvenOdd Numbers Heuristic,7,7176
53,A*,EvenOdd Numbers Heuristic,8,7176
54,A*,EvenOdd Numbers Heuristic,7,7176
55,A*,EvenOdd Numbers Heuristic,7,7176
56,A*,EvenOdd Numbers Heuristic,7,7176
57,A*,EvenOdd Numbers Heuristic,7,7176
58,A*,EvenOdd Numbers Heuristic,8,7176
59,A*,EvenOdd Numbers Heuristic,7,7176
60,A*,EvenOdd Numbers Heuristic,8,7176
61,A*,EvenOdd Numbers Heuristic,10,7176
62,A*,EvenOdd Numbers Heuristic,10,7176
63,A*,EvenOdd Numbers Heuristic,10,7176
64,A*,EvenOdd Numbers Heuristic,10,7176
65,A*,EvenOdd Numbers Heuristic,8,7176
66,A*,EvenOdd Numbers Heuristic,8,7176
67,A*,EvenOdd Numbers Heuristic,8,7176
68,A*,EvenOdd Numbers Heuristic,7,7176
69,A*,EvenOdd Numbers Heuristic,7,7176
70,A*,EvenOdd Numbers Heuristic,7,7176
71,A*,EvenOdd Numbers Heuristic,8,7176
72,A*,EvenOdd Numbers Heuristic,8,7176
73,A*,EvenOdd Numbers Heuristic,9,7176
74,A*,EvenOdd Numbers Heuristic,8,7176
75,A*,EvenOdd Numbers Heuristic,9,7176
76,A*,EvenOdd Numbers Heuristic,9,7176
77,A*,EvenOdd Numbers Heuristic,8,7176
78,A*,EvenOdd Numbers Heuristic,9,7176
79,A*,EvenOdd Numbers Heuristic,7,7176
80,A*,EvenOdd Numbers Heuristic,9,7176
81,A*,EvenOdd Numbers Heuristic,10,7176
82,A*,EvenOdd Numbers Heuristic,10,7176
83,A*,EvenOdd Numbers Heuristic,9,7176
84,A*,EvenOdd Numbers Heuristic,9,7176
85,A*,EvenOdd Numbers Heuristic,10,7176
86,A*,EvenOdd Numbers Heuristic,9,7176
87,A*,EvenOdd Numbers Heuristic,7,7176
88,A*,EvenOdd Numbers Heuristic,7,7176
89,A*,EvenOdd Numbers Heuristic,8,7176
90,A*,EvenOdd Numbers Heuristic,7,7176
91,A*,EvenOdd Numbers Heuristic,8,7176
92,A*,EvenOdd Numbers Heuristic,7,7176
93,A*,EvenOdd Numbers Heuristic,7,7176
94,A*,EvenOdd Numbers Heuristic,7,7176
95,A*,EvenOdd Numbers Heuristic,7,7176
96,A*,EvenOdd Numbers Heuristic,7,7176
97,A*,EvenOdd Numbers Heuristic,7,7176
98,A*,EvenOdd Numbers Heuristic,8,7176
99,A*,EvenOdd Numbers Heuristic,8,7176
0,A*,Manhattan Distance,9,5728
1,A*,Manhattan Distance,9,10968
2,A*,Manhattan Distance,8,6672
3,A*,Manhattan Distance,9,65384
4,A*,Manhattan Distance,8,48976
5,A*,Manhattan Distance,8,34360
6,A*,Manhattan Distance,9,35000
7,A*,Manhattan Distance,10,33680
8,A*,Manhattan Distance,10,6272
9,A*,Manhattan Distance,10,14320
10,A*,Manhattan Distance,9,33424
11,A*,Manhattan Distance,9,35312
12,A*,Manhattan Distance,10,48720
13,A*,Manhattan Distance,9,6624
14,A*,Manhattan Distance,10,6440
15,A*,Manhattan Distance,9,48904
16,A*,Manhattan Distance,9,6256
17,A*,Manhattan Distance,8,34688
18,A*,Manhattan Distance,9,49184
19,A*,Manhattan Distance,9,7048
20,A*,Manhattan Distance,9,6120
