Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
0,IDA*,EvenOdd Numbers Heuristic,15,112
1,IDA*,EvenOdd Numbers Heuristic,15,192
2,IDA*,EvenOdd Numbers Heuristic,15,192
3,IDA*,EvenOdd Numbers Heuristic,15,192
4,IDA*,EvenOdd Numbers Heuristic,16,192
5,IDA*,EvenOdd Numbers Heuristic,14,192
6,IDA*,EvenOdd Numbers Heuristic,13,192
7,IDA*,EvenOdd Numbers Heuristic,15,192
8,IDA*,EvenOdd Numbers Heuristic,15,192
9,IDA*,EvenOdd Numbers Heuristic,13,192
10,IDA*,EvenOdd Numbers Heuristic,13,192
11,IDA*,EvenOdd Numbers Heuristic,16,192
12,IDA*,EvenOdd Numbers Heuristic,14,192
13,IDA*,EvenOdd Numbers Heuristic,16,192
14,IDA*,EvenOdd Numbers Heuristic,16,192
15,IDA*,EvenOdd Numbers Heuristic,15,192
16,IDA*,EvenOdd Numbers Heuristic,15,192
17,IDA*,EvenOdd Numbers Heuristic,15,192
18,IDA*,EvenOdd Numbers Heuristic,16,192
19,IDA*,EvenOdd Numbers Heuristic,15,192
20,IDA*,EvenOdd Numbers Heuristic,17,192
21,IDA*,EvenOdd Numbers Heuristic,13,192
22,IDA*,EvenOdd Numbers Heuristic,13,192
23,IDA*,EvenOdd Numbers Heuristic,12,192
24,IDA*,EvenOdd Numbers Heuristic,13,192
25,IDA*,EvenOdd Numbers Heuristic,14,192
26,IDA*,EvenOdd Numbers Heuristic,13,192
27,IDA*,EvenOdd Numbers Heuristic,14,192
28,IDA*,EvenOdd Numbers Heuristic,13,192
29,IDA*,EvenOdd Numbers Heuristic,13,192
30,IDA*,EvenOdd Numbers Heuristic,14,192
31,IDA*,EvenOdd Numbers Heuristic,13,192
32,IDA*,EvenOdd Numbers Heuristic,14,192
33,IDA*,EvenOdd Numbers Heuristic,14,192
34,IDA*,EvenOdd Numbers Heuristic,13,192
35,IDA*,EvenOdd Numbers Heuristic,14,192
36,IDA*,EvenOdd Numbers Heuristic,13,192
37,IDA*,EvenOdd Numbers Heuristic,13,192
38,IDA*,EvenOdd Numbers Heuristic,13,192
39,IDA*,EvenOdd Numbers Heuristic,13,192
40,IDA*,EvenOdd Numbers Heuristic,13,192
41,IDA*,EvenOdd Numbers Heuristic,14,192
42,IDA*,EvenOdd Numbers Heuristic,13,192
